stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
0011.HK,120.19999694824219,387,120.30000305175781,38.702362060546875,2022-12-01 15:44:19.402792,2022-12-04 15:44:19.402792
1113.HK,46.20000076293945,1008,45.75,-453.60076904296875,2022-12-05 15:44:19.402792,2022-12-08 15:44:19.402792
0316.HK,136.8000030517578,337,137.10000610351562,101.10102844238281,2022-12-09 15:44:19.402792,2022-12-12 15:44:19.402792
1093.HK,8.569999694824219,5395,8.600000381469727,161.85370445251465,2022-12-13 15:44:19.402792,2022-12-16 15:44:19.402792
9866.HK,94.44999694824219,491,90.8499984741211,-1767.599250793457,2022-12-17 15:44:19.402792,2022-12-19 15:44:19.402792
0669.HK,88.0999984741211,506,88.25,75.90077209472656,2022-12-20 15:44:19.402792,2022-12-23 15:44:19.402792
1211.HK,194.10000610351562,230,194.10000610351562,0.0,2022-12-24 15:44:19.402792,2022-12-27 15:44:19.402792
1211.HK,194.10000610351562,230,192.60000610351562,-345.0,2022-12-28 15:44:19.402792,2022-12-31 15:44:19.402792
9866.HK,78.5,565,77.55000305175781,-536.7482757568359,2023-01-01 15:44:19.402792,2023-01-04 15:44:19.402792
9866.HK,77.55000305175781,565,78.5999984741211,593.2474136352539,2023-01-05 15:44:19.402792,2023-01-08 15:44:19.402792
0316.HK,135.6999969482422,327,141.10000610351562,1765.802993774414,2023-01-09 15:44:19.402792,2023-01-12 15:44:19.402792
3690.HK,173.0,266,165.60000610351562,-1968.3983764648438,2023-01-13 15:44:19.402792,2023-01-16 15:44:19.402792
3690.HK,165.60000610351562,267,160.1999969482422,-1441.8024444580078,2023-01-17 15:44:19.402792,2023-01-19 15:44:19.402792
3690.HK,160.1999969482422,267,168.10000610351562,2109.302444458008,2023-01-20 15:44:19.402792,2023-01-21 15:44:19.402792
3690.HK,168.10000610351562,267,168.10000610351562,0.0,2023-01-22 15:44:19.402792,2023-01-25 15:44:19.402792
3690.HK,168.10000610351562,267,174.89999389648438,1815.5967407226562,2023-01-26 15:44:19.402792,2023-01-27 15:44:19.402792
