STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
9432.T,95.42425537109375,35000,92.86669921875,-89514.46533203125,-2.68,2022-11-21 16:03:25.228388,2022-12-06 16:03:25.228388,11,15.941313967985044,8.123362771995337,631.5404593526312
9984.T,5871.72509765625,900,5682.1865234375,-170584.716796875,-3.23,2022-12-06 16:03:25.228388,2022-12-20 16:03:25.228388,10,9.62220464377233,8.842027406725515,603.5046278626085
6504.T,5476.92724609375,1200,5143.8046875,-399747.0703125,-6.08,2022-12-13 16:03:25.228388,2022-12-20 16:03:25.228388,5,16.791070008654643,11.603660894088845,588.3426125770258
7272.T,3196.6728515625,2200,3013.730712890625,-402472.705078125,-5.72,2022-12-14 16:03:25.228388,2022-12-20 16:03:25.228388,4,35.78772251418921,32.12825351310231,665.164599708243
5108.T,4863.404296875,1200,4604.744140625,-310392.1875,-5.32,2022-12-09 16:03:25.228388,2022-12-21 16:03:25.228388,8,10.501082861454837,8.407056884252274,661.4471058191305
3038.T,3832.078369140625,700,3673.02978515625,-111334.0087890625,-4.15,2022-12-22 16:03:25.228388,2023-01-06 16:03:25.228388,8,66.07638776495078,50.232584285017886,465.16831527575266
4189.T,2607.828857421875,1200,2586.15966796875,-26003.02734375,-0.83,2022-12-26 16:03:25.228388,2023-01-16 16:03:25.228388,13,18.87366751109825,14.2134818823591,640.9593374979361
8303.T,2166.596923828125,2100,2281.989501953125,242324.4140625,5.33,2023-01-05 16:03:25.228388,2023-01-19 16:03:25.228388,10,13.912117798556608,9.918598273567701,109.73586451314736
5713.T,4790.1455078125,1400,4943.6630859375,214924.609375,3.2,2023-01-11 16:03:25.228388,2023-01-19 16:03:25.228388,6,49.52721538251909,33.76073258003438,596.8883575704369
6702.T,17434.8515625,300,18420.986328125,295840.4296875,5.66,2022-12-27 16:03:25.228388,2023-01-30 16:03:25.228388,20,25.48906618441078,18.21507205913974,646.6795127235614
9531.T,2419.729736328125,2300,2803.953369140625,883714.35546875,15.88,2023-01-17 16:03:25.228388,2023-02-01 16:03:25.228388,8,28.436022900376894,23.450244137925488,365.44830160009326
6988.T,7494.2509765625,600,7971.158203125,286144.3359375,6.36,2023-01-10 16:03:25.228388,2023-02-02 16:03:25.228388,14,8.62585595534233,5.803498934017972,661.6315812495152
2229.T,2863.721435546875,7800,2768.4931640625,-742780.517578125,-3.33,2023-01-20 16:03:25.228388,2023-02-03 16:03:25.228388,7,15.69701119299636,9.412701919523538,540.5476608546024
5301.T,1082.02392578125,100,1071.174072265625,-1084.9853515625,-1.0,2023-01-23 16:03:25.228388,2023-02-06 16:03:25.228388,8,43.70157598917109,30.048441563189783,21.571081717931825
9503.T,1199.062744140625,4600,1178.706787109375,-93637.40234375,-1.7,2023-01-30 16:03:25.228388,2023-02-13 16:03:25.228388,10,45.862088903132815,37.36812982149604,538.429884565654
6857.T,2360.9931640625,2400,2463.11669921875,245096.484375,4.33,2023-02-06 16:03:25.228388,2023-02-15 16:03:25.228388,7,75.41644960504871,70.39174072533815,294.81230230624504
4502.T,4074.384521484375,1500,4035.9736328125,-57616.3330078125,-0.94,2023-02-08 16:03:25.228388,2023-02-24 16:03:25.228388,12,65.96161674502318,49.82293158066108,487.96752595607586
5076.T,963.5498046875,12900,972.87744140625,120326.513671875,0.97,2023-02-16 16:03:25.228388,2023-02-24 16:03:25.228388,6,46.41077216608537,35.34962234986862,544.4183335541711
6028.T,3344.360595703125,2600,3378.838623046875,89642.87109375,1.03,2023-02-27 16:03:25.228388,2023-03-01 16:03:25.228388,2,10.353300811988026,8.745031400725091,627.5919614142974
7564.T,5303.607421875,1400,5441.87646484375,193576.66015625,2.61,2023-02-09 16:03:25.228388,2023-03-02 16:03:25.228388,15,28.244827502947327,18.133758781603056,542.2534652599636
1605.T,1441.961181640625,2300,1460.5860595703125,42837.21923828125,1.29,2023-02-14 16:03:25.228388,2023-03-09 16:03:25.228388,17,57.343751277987295,42.8940844918692,595.7606580826985
1973.T,1588.255126953125,5900,1600.9144287109375,74689.88037109375,0.8,2023-02-10 16:03:25.228388,2023-03-13 16:03:25.228388,21,24.647290159316785,19.152153825810224,514.1187227990857
6532.T,5436.97021484375,1800,5320.39990234375,-209826.5625,-2.14,2023-02-24 16:03:25.228388,2023-03-14 16:03:25.228388,12,47.7865436377722,46.334703802312774,537.3752511540048
5019.T,2962.039794921875,2900,2792.505126953125,-491650.537109375,-5.72,2023-03-03 16:03:25.228388,2023-03-14 16:03:25.228388,7,14.274364208728816,8.488608887956612,654.4817330755287
7741.T,13163.5322265625,600,13566.6494140625,241870.3125,3.06,2023-03-01 16:03:25.228388,2023-03-15 16:03:25.228388,10,13.348570995753358,9.795503918873527,633.3594019044799
9502.T,1406.8057861328125,2400,1361.2059326171875,-109439.6484375,-3.24,2023-03-09 16:03:25.228388,2023-03-24 16:03:25.228388,11,59.193761774679146,46.29726231754474,483.4079226732548
