stock,buy_price,n_shares,sell_price,net_gain,gain_perc,buy_date,sell_date,total_days_on_market,cup_len,handle_len,cup_depth,handle_depth,rrr,,
CNY=X,6.1351,32997,6.1938,1936.9239,0.96,2014-03-03,2014-07-01,80,426,158,0.047709084,0.015924761,2.995905834,,
MYR=X,3.2294,61693,3.1849,-2745.3385,-1.38,2014-06-05,2014-07-30,38,55,75,0.536074813,0.038304329,13.99514956,,
AUDUSD=X,0.9426,211851,0.9386,-847.404,-0.42,2014-06-13,2014-07-30,32,169,63,0.116061956,0.027371101,4.240310078,,
GBPUSD=X,1.6979,117922,1.683,-1757.0378,-0.88,2014-06-17,2014-08-04,33,139,118,0.023794099,0.007244243,3.284552846,,
EURCAD=X,1.4639,137993,1.457,-952.1517,-0.47,2014-08-05,2014-08-20,11,77,21,0.059020425,0.015848077,3.724137931,,
GBPJPY=X,173.09,1153,172.403,-792.111,-0.4,2014-06-16,2014-08-25,49,64,97,0.063279219,0.023086256,2.740990991,,
IDR=X,11861,16,11665,-3136,-1.65,2014-08-04,2014-08-28,18,64,36,0.981283197,0.059860046,16.39295775,992861.892,-0.7138108
HKD=X,7.7512,26367,7.7499,-34.2771,-0.02,2014-07-23,2014-09-03,30,65,60,0.002089999,0.000645061,3.24,,
PHP=X,43.84,4581,42.855,-4512.285,-2.25,2014-09-11,2014-09-15,2,134,33,0.072194343,0.019274635,3.74556213,,
EURGBP=X,0.8009,250779,0.7859,-3761.685,-1.87,2014-09-09,2014-09-19,8,148,25,0.065676114,0.017979773,3.652777778,,
PHP=X,44.224,4490,44.85,2810.74,1.42,2014-09-17,2014-10-17,20,134,39,0.071567475,0.019107272,3.74556213,,
IDR=X,11767,16,12032,4240,2.25,2014-09-04,2014-10-24,33,36,33,0.060338234,0.021245857,2.84,,
CNY=X,6.1305,32154,6.1027,-893.8812,-0.45,2014-09-19,2014-11-03,29,26,57,0.657939809,0.014729631,44.66777409,,
MYR=X,3.2082,62966,3.3537,9161.553,4.54,2014-08-07,2014-11-17,69,55,138,0.539617231,0.097094944,5.557624398,,
ZAR=X,10.962,18116,11.0533,1653.9908,0.83,2014-09-16,2014-11-20,45,138,89,0.101541689,0.035714286,2.843167305,,
MXN=X,13.51,14905,14.1018,8820.779,4.38,2014-10-17,2014-12-02,32,193,71,0.05788305,0.023005181,2.516087516,,
CNY=X,6.1162,31786,6.1769,1929.4102,0.99,2014-11-13,2014-12-15,22,116,43,0.663075112,0.008583761,77.24761905,,
PHP=X,44.902,4328,44.544,-1549.424,-0.8,2014-11-07,2015-01-14,45,134,90,0.070486838,0.018818761,3.74556213,,
MYR=X,3.3537,62967,3.6025,15666.1896,7.42,2014-11-17,2015-01-28,49,195,98,0.516205981,0.062945404,8.200852676,,
INR=X,61.923,3233,61.733,-614.27,-0.31,2014-11-21,2015-02-06,52,191,104,0.08413675,0.026645996,3.157575758,,
ZAR=X,11.7974,17495,11.6342,-2855.184,-1.38,2015-02-12,2015-02-17,3,245,131,0.094351298,0.01003611,9.401182432,,
