stock,buy_price,n_shares,sell_price,net_gain,buy_date,sell_date
0388.HK,351.97833251953125,90,358.5074462890625,587.6202392578125,2022-07-25 18:34:35.696988,2022-08-01 18:34:35.696988
0700.HK,306.79998779296875,102,302.6000061035156,-428.39813232421875,2022-07-29 18:34:35.696988,2022-08-03 18:34:35.696988
0700.HK,302.6000061035156,104,299.3999938964844,-332.80126953125,2022-08-03 18:34:35.696988,2022-08-08 18:34:35.696988
0881.HK,41.599998474121094,757,40.099998474121094,-1135.5,2022-08-05 18:34:35.696988,2022-08-10 18:34:35.696988
9999.HK,140.01605224609375,223,141.4142303466797,311.79371643066406,2022-08-08 18:34:35.696988,2022-08-15 18:34:35.696988
0700.HK,298.0,105,300.3999938964844,251.99935913085938,2022-08-09 18:34:35.696988,2022-08-15 18:34:35.696988
9618.HK,221.1999969482422,137,221.1999969482422,0.0,2022-08-11 18:34:35.696988,2022-08-16 18:34:35.696988
0316.HK,214.113037109375,145,200.48104858398438,-1976.6383361816406,2022-08-16 18:34:35.696988,2022-08-18 18:34:35.696988
0316.HK,200.48104858398438,152,213.5677490234375,1989.178466796875,2022-08-18 18:34:35.696988,2022-08-19 18:34:35.696988
0316.HK,213.5677490234375,146,202.6621551513672,-1592.2167053222656,2022-08-19 18:34:35.696988,2022-08-23 18:34:35.696988
2688.HK,106.28400421142578,287,112.53600311279297,1794.3236846923828,2022-08-23 18:34:35.696988,2022-08-25 18:34:35.696988
0388.HK,326.4554748535156,95,317.75,-827.0201110839844,2022-08-22 18:34:35.696988,2022-08-29 18:34:35.696988
0316.HK,197.39112854003906,154,197.39112854003906,0.0,2022-08-24 18:34:35.696988,2022-08-29 18:34:35.696988
1211.HK,262.20001220703125,123,263.0,98.39849853515625,2022-08-25 18:34:35.696988,2022-08-30 18:34:35.696988
0388.HK,316.3999938964844,98,306.3999938964844,-980.0,2022-08-30 18:34:35.696988,2022-09-05 18:34:35.696988
1211.HK,232.60000610351562,133,215.0,-2340.800811767578,2022-09-01 18:34:35.696988,2022-09-05 18:34:35.696988
0316.HK,150.0,207,146.5,-724.5,2022-09-02 18:34:35.696988,2022-09-07 18:34:35.696988
0316.HK,146.5,202,145.6999969482422,-161.60061645507812,2022-09-07 18:34:35.696988,2022-09-13 18:34:35.696988
