Date,Stock,Gain,Total
2022-07-11,,,93959.98749605566
2022-07-12,,,93959.98749605566
2022-07-13,,,93959.98749605566
2022-07-14,,,93959.98749605566
2022-07-15,,,93959.98749605566
2022-07-16,,,93959.98749605566
2022-07-17,,,93959.98749605566
2022-07-18,,,93959.98749605566
2022-07-19,,,93959.98749605566
2022-07-20,9908.HK,-244.37226390838623,93715.61523214728
2022-07-21,6199.HK,0.0,93715.61523214728
2022-07-22,6117.HK,1305.120700120926,95020.7359322682
2022-07-23,,,95020.7359322682
2022-07-24,,,95020.7359322682
2022-07-25,,,95020.7359322682
2022-07-26,,,95020.7359322682
2022-07-27,,,95020.7359322682
2022-07-28,,,95020.7359322682
2022-07-29,,,95020.7359322682
2022-07-30,,,95020.7359322682
2022-07-31,,,95020.7359322682
2022-08-01,9908.HK,0.0,95020.7359322682
2022-08-02,6199.HK,-2171.4109745025635,92849.32495776564
2022-08-03,9938.HK,-778.9526440426707,92070.37231372297
2022-08-04,,,92070.37231372297
2022-08-05,,,92070.37231372297
2022-08-06,,,92070.37231372297
2022-08-07,,,92070.37231372297
2022-08-08,6199.HK,0.0,92070.37231372297
2022-08-09,,,92070.37231372297
2022-08-10,,,92070.37231372297
2022-08-11,9908.HK,711.6027145385742,92781.97502826154
2022-08-12,,,92781.97502826154
2022-08-13,,,92781.97502826154
2022-08-14,,,92781.97502826154
2022-08-15,9938.HK,-519.3030523955822,92262.67197586596
2022-08-16,,,92262.67197586596
2022-08-17,,,92262.67197586596
2022-08-18,6199.HK,1149.571949005127,93412.24392487109
2022-08-19,,,93412.24392487109
2022-08-20,,,93412.24392487109
2022-08-21,,,93412.24392487109
2022-08-22,9908.HK,0.0,93412.24392487109
2022-08-23,,,93412.24392487109
2022-08-24,,,93412.24392487109
2022-08-25,9938.HK,-259.6515261977911,93152.5923986733
2022-08-26,,,93152.5923986733
2022-08-27,,,93152.5923986733
2022-08-28,,,93152.5923986733
2022-08-29,6199.HK,0.0,93152.5923986733
2022-08-30,,,93152.5923986733
2022-08-31,,,93152.5923986733
2022-09-01,9633.HK,-882.5,92270.0923986733
2022-09-02,,,92270.0923986733
2022-09-03,,,92270.0923986733
2022-09-04,,,92270.0923986733
2022-09-05,9908.HK,-132.55987358093262,92137.53252509236
2022-09-06,,,92137.53252509236
2022-09-07,,,92137.53252509236
2022-09-08,6199.HK,383.24963450431824,92520.78215959668
2022-09-09,,,92520.78215959668
2022-09-10,,,92520.78215959668
2022-09-11,,,92520.78215959668
2022-09-12,,,92520.78215959668
2022-09-13,9633.HK,-35.299461364746094,92485.48269823194
2022-09-14,,,92485.48269823194
2022-09-15,9908.HK,99.41911506652832,92584.90181329846
2022-09-16,,,92584.90181329846
2022-09-17,,,92584.90181329846
2022-09-18,,,92584.90181329846
2022-09-19,9938.HK,-274.7205099016428,92310.18130339682
2022-09-20,,,92310.18130339682
2022-09-21,,,92310.18130339682
2022-09-22,,,92310.18130339682
2022-09-23,9633.HK,353.0,92663.18130339682
2022-09-24,,,92663.18130339682
2022-09-25,,,92663.18130339682
2022-09-26,9908.HK,-66.2815170288086,92596.89978636801
2022-09-27,,,92596.89978636801
2022-09-28,,,92596.89978636801
2022-09-29,6117.HK,603.3094246387482,93200.20921100676
2022-09-30,,,93200.20921100676
2022-10-01,,,93200.20921100676
2022-10-02,,,93200.20921100676
2022-10-03,9633.HK,-1623.799461364746,91576.40974964201
2022-10-04,,,91576.40974964201
2022-10-05,,,91576.40974964201
2022-10-06,9908.HK,-231.9789886474609,91344.43076099455
2022-10-07,,,91344.43076099455
2022-10-08,,,91344.43076099455
2022-10-09,,,91344.43076099455
2022-10-10,9938.HK,-1711.2112180292606,89633.2195429653
2022-10-11,,,89633.2195429653
2022-10-12,9938.HK,855.6056090146303,90488.82515197992
2022-10-13,9633.HK,-1553.200538635254,88935.62461334467
2022-10-14,,,88935.62461334467
2022-10-15,,,88935.62461334467
2022-10-16,,,88935.62461334467
2022-10-17,9908.HK,-2154.098735809326,86781.52587753534
2022-10-18,,,86781.52587753534
2022-10-19,,,86781.52587753534
2022-10-20,,,86781.52587753534
2022-10-21,9633.HK,-728.6994705200195,86052.82640701532
2022-10-22,,,86052.82640701532
2022-10-23,,,86052.82640701532
2022-10-24,9908.HK,0.0,86052.82640701532
2022-10-25,6117.HK,-1796.5800713896751,84256.24633562565
2022-10-26,,,84256.24633562565
2022-10-27,,,84256.24633562565
2022-10-28,6117.HK,1497.1503569483757,85753.39669257402
2022-10-29,,,85753.39669257402
2022-10-30,,,85753.39669257402
2022-10-31,9633.HK,1769.6994705200195,87523.09616309404
2022-11-01,,,87523.09616309404
2022-11-02,,,87523.09616309404
2022-11-03,9908.HK,-289.679723739624,87233.41643935442
2022-11-04,,,87233.41643935442
2022-11-05,,,87233.41643935442
2022-11-06,,,87233.41643935442
2022-11-07,6199.HK,612.7523374557495,87846.16877681017
2022-11-08,,,87846.16877681017
2022-11-09,,,87846.16877681017
2022-11-10,9633.HK,555.1994705200195,88401.36824733019
2022-11-11,,,88401.36824733019
