STOCK,BUY PRICE,SHARES,SELL PRICE,NET GAIN,GAIN%,BUY DATE,SELL DATE,TOTAL DAYS ON MARKET,K,D,POTENTIAL
2181.T,190.6971893310547,4000,193.9202423095703,12892.2119140625,1.69,2022-05-17 08:59:08.679575,2022-05-30 08:59:08.679575,9,28.777734998030912,14.025847200871615,682.9196082521456
2201.T,3809.74365234375,100,3853.58984375,4384.619140625,1.15,2022-05-20 08:59:08.679575,2022-05-30 08:59:08.679575,6,40.000014646892865,38.44701065826299,424.54690278929394
8002.T,1278.64501953125,600,1294.52880859375,9530.2734375,1.24,2022-05-18 08:59:08.679575,2022-06-01 08:59:08.679575,10,35.50662362188847,25.778404920974026,562.4467374074559
4516.T,7816.78515625,100,7398.20263671875,-41858.251953125,-5.35,2022-05-23 08:59:08.679575,2022-06-02 08:59:08.679575,8,32.925824035854816,20.43130618271436,567.3061593311952
2670.T,1659.907958984375,700,1793.1854248046875,93294.22607421875,8.03,2022-05-30 08:59:08.679575,2022-06-06 08:59:08.679575,4,62.74504928629644,57.77895498574512,507.268220338769
3167.T,823.7486572265625,300,819.9569702148438,-1137.506103515625,-0.46,2022-05-27 08:59:08.679575,2022-06-10 08:59:08.679575,9,38.94733427931296,34.73412870442032,392.7387916743875
4205.T,1330.63818359375,600,1320.0623779296875,-6345.4833984375,-0.79,2022-06-01 08:59:08.679575,2022-06-15 08:59:08.679575,9,61.67726329063694,51.20932550902988,416.748946818092
4507.T,6636.40087890625,200,6284.111328125,-70457.91015625,-5.31,2022-06-06 08:59:08.679575,2022-06-15 08:59:08.679575,7,26.749752615499027,23.144107108197034,323.4058026416195
5423.T,1573.60009765625,100,1461.746337890625,-11185.3759765625,-7.11,2022-06-07 08:59:08.679575,2022-06-15 08:59:08.679575,6,86.77859230695677,82.36812110353824,68.7489698603473
6055.T,1823.1328125,300,2006.53662109375,55021.142578125,10.06,2022-06-03 08:59:08.679575,2022-06-27 08:59:08.679575,16,26.160694605431082,18.39283562191888,513.413818111703
9503.T,1208.3297119140625,200,1269.1260986328125,12159.27734375,5.03,2022-06-16 08:59:08.679575,2022-07-01 08:59:08.679575,10,31.6483626369557,22.858973756278587,551.9665390475058
8113.T,4263.38525390625,100,4477.65087890625,21426.5625,5.03,2022-06-21 08:59:08.679575,2022-07-01 08:59:08.679575,7,29.596136212745773,18.596294741111446,304.94899929547296
9759.T,2298.234375,600,2433.4248046875,81114.2578125,5.88,2022-06-27 08:59:08.679575,2022-07-13 08:59:08.679575,11,51.07143093279396,37.33666067220723,618.8221504935825
9684.T,5706.41845703125,100,6137.09228515625,43067.3828125,7.55,2022-06-23 08:59:08.679575,2022-07-20 08:59:08.679575,18,25.116306007940175,17.06852640152595,622.0207807581207
